subset,image_path,label_path,box_count,class_ids,hydration_proxy_pct,richness_proxy_score,plant_diversity_index,mean_bbox_area_ratio
train,data/yolo_dataset/images/train/MAX_0004_12.jpg,data/yolo_dataset/labels/train/MAX_0004_12.txt,1,0,37.4735,51.0501,-0.0,0.003388
train,data/yolo_dataset/images/train/MAX_0004_21.jpg,data/yolo_dataset/labels/train/MAX_0004_21.txt,1,0,26.7831,28.5202,-0.0,0.003169
train,data/yolo_dataset/images/train/MAX_0004_43.jpg,data/yolo_dataset/labels/train/MAX_0004_43.txt,1,0,25.2563,26.1496,-0.0,0.002154
train,data/yolo_dataset/images/train/MAX_0004_5.jpg,data/yolo_dataset/labels/train/MAX_0004_5.txt,4,0,38.4187,54.2122,-0.0,0.002344
train,data/yolo_dataset/images/train/MAX_0004_8.jpg,data/yolo_dataset/labels/train/MAX_0004_8.txt,1,0,28.1699,32.9317,-0.0,0.005198
train,data/yolo_dataset/images/train/MAX_0005_26.jpg,data/yolo_dataset/labels/train/MAX_0005_26.txt,2,0,32.7746,46.7647,-0.0,0.004699
train,data/yolo_dataset/images/train/MAX_0005_33.jpg,data/yolo_dataset/labels/train/MAX_0005_33.txt,3,0,31.0666,44.8769,-0.0,0.004669
train,data/yolo_dataset/images/train/MAX_0005_35.jpg,data/yolo_dataset/labels/train/MAX_0005_35.txt,1,0,21.1035,23.3313,-0.0,0.005479
train,data/yolo_dataset/images/train/MAX_0005_43.jpg,data/yolo_dataset/labels/train/MAX_0005_43.txt,1,0,20.6087,23.4103,-0.0,0.003961
train,data/yolo_dataset/images/train/MAX_0005_47.jpg,data/yolo_dataset/labels/train/MAX_0005_47.txt,3,0,30.2395,45.7887,-0.0,0.001838
train,data/yolo_dataset/images/train/MAX_0006_19.jpg,data/yolo_dataset/labels/train/MAX_0006_19.txt,12,0,38.9159,56.1281,-0.0,0.013835
train,data/yolo_dataset/images/train/MAX_0006_25.jpg,data/yolo_dataset/labels/train/MAX_0006_25.txt,2,0,30.9767,45.9257,-0.0,0.009766
train,data/yolo_dataset/images/train/MAX_0006_26.jpg,data/yolo_dataset/labels/train/MAX_0006_26.txt,7,0,37.8161,56.5632,-0.0,0.021401
train,data/yolo_dataset/images/train/MAX_0006_32.jpg,data/yolo_dataset/labels/train/MAX_0006_32.txt,3,0,30.956,46.806,-0.0,0.016226
train,data/yolo_dataset/images/train/MAX_0006_33.jpg,data/yolo_dataset/labels/train/MAX_0006_33.txt,8,0,35.5129,53.9534,-0.0,0.013032
train,data/yolo_dataset/images/train/MAX_0007_11.jpg,data/yolo_dataset/labels/train/MAX_0007_11.txt,2,0,24.647,37.9913,-0.0,0.006481
train,data/yolo_dataset/images/train/MAX_0007_12.jpg,data/yolo_dataset/labels/train/MAX_0007_12.txt,15,0,34.36,51.9595,-0.0,0.003949
train,data/yolo_dataset/images/train/MAX_0007_13.jpg,data/yolo_dataset/labels/train/MAX_0007_13.txt,6,0,26.0355,35.1168,-0.0,0.001954
train,data/yolo_dataset/images/train/MAX_0007_18.jpg,data/yolo_dataset/labels/train/MAX_0007_18.txt,2,0,23.5837,34.4163,-0.0,0.004123
train,data/yolo_dataset/images/train/MAX_0007_3.jpg,data/yolo_dataset/labels/train/MAX_0007_3.txt,1,0,32.6115,45.7126,-0.0,0.006104
train,data/yolo_dataset/images/train/MAX_0007_33.jpg,data/yolo_dataset/labels/train/MAX_0007_33.txt,2,0,34.887,48.9244,-0.0,0.022566
train,data/yolo_dataset/images/train/MAX_0007_35.jpg,data/yolo_dataset/labels/train/MAX_0007_35.txt,1,0,28.9972,36.8658,-0.0,0.002213
train,data/yolo_dataset/images/train/MAX_0007_5.jpg,data/yolo_dataset/labels/train/MAX_0007_5.txt,20,0,43.6395,61.557,-0.0,0.014926
train,data/yolo_dataset/images/train/MAX_0007_6.jpg,data/yolo_dataset/labels/train/MAX_0007_6.txt,3,0,28.1492,37.1761,-0.0,0.004814
train,data/yolo_dataset/images/train/MAX_0008_12.jpg,data/yolo_dataset/labels/train/MAX_0008_12.txt,16,0,39.6385,53.1281,-0.0,0.003757
train,data/yolo_dataset/images/train/MAX_0008_13.jpg,data/yolo_dataset/labels/train/MAX_0008_13.txt,19,0,29.7016,44.3708,-0.0,0.004681
train,data/yolo_dataset/images/train/MAX_0008_18.jpg,data/yolo_dataset/labels/train/MAX_0008_18.txt,1,0,30.6239,46.7751,-0.0,0.004001
train,data/yolo_dataset/images/train/MAX_0008_19.jpg,data/yolo_dataset/labels/train/MAX_0008_19.txt,3,0,37.494,50.0189,-0.0,0.004862
train,data/yolo_dataset/images/train/MAX_0008_20.jpg,data/yolo_dataset/labels/train/MAX_0008_20.txt,15,0,27.5616,39.9243,-0.0,0.003551
train,data/yolo_dataset/images/train/MAX_0008_27.jpg,data/yolo_dataset/labels/train/MAX_0008_27.txt,17,0,28.7432,42.2995,-0.0,0.004365
train,data/yolo_dataset/images/train/MAX_0008_33.jpg,data/yolo_dataset/labels/train/MAX_0008_33.txt,14,0,31.5981,45.8041,-0.0,0.003242
train,data/yolo_dataset/images/train/MAX_0008_34.jpg,data/yolo_dataset/labels/train/MAX_0008_34.txt,6,0,26.5641,35.7039,-0.0,0.004067
train,data/yolo_dataset/images/train/MAX_0008_40.jpg,data/yolo_dataset/labels/train/MAX_0008_40.txt,3,0,28.47,40.4264,-0.0,0.005662
train,data/yolo_dataset/images/train/MAX_0008_41.jpg,data/yolo_dataset/labels/train/MAX_0008_41.txt,6,0,25.0627,33.6364,-0.0,0.003502
train,data/yolo_dataset/images/train/MAX_0008_47.jpg,data/yolo_dataset/labels/train/MAX_0008_47.txt,7,0,27.3711,38.2873,-0.0,0.002009
train,data/yolo_dataset/images/train/MAX_0008_6.jpg,data/yolo_dataset/labels/train/MAX_0008_6.txt,25,0,29.2998,41.6497,-0.0,0.002404
train,data/yolo_dataset/images/train/MAX_0009_12.jpg,data/yolo_dataset/labels/train/MAX_0009_12.txt,12,0,48.559,58.2051,-0.0,0.048103
train,data/yolo_dataset/images/train/MAX_0009_13.jpg,data/yolo_dataset/labels/train/MAX_0009_13.txt,18,0,36.8665,55.7733,-0.0,0.017494
train,data/yolo_dataset/images/train/MAX_0009_19.jpg,data/yolo_dataset/labels/train/MAX_0009_19.txt,11,0,42.4294,57.5816,-0.0,0.022772
